County,Year,Month,Labor Force,Employment,Unemployment,Unemp. Rate
Alameda,2021,June,"846,600","789,900","56,700",6.7%
Alameda,2021,July,"853,700","800,400","53,300",6.2%
Alameda,2021,August,"850,900","800,400","50,500",5.9%
Alameda,2021,September,"850,900","808,500","42,400",5.0%
Alameda,2021,October,"851,400","811,000","40,400",4.7%
Alameda,2021,November,"853,400","817,200","36,200",4.2%
Alameda,2021,December,"853,400","820,600","32,800",3.8%
Alameda,2022,January,"853,800","817,400","36,400",4.3%
Alameda,2022,February,"858,300","826,100","32,200",3.7%
Alameda,2022,March,"861,500","832,800","28,700",3.3%
Alameda,2022,April,"848,000","823,100","24,900",2.9%
Alameda,2022,May,"853,000","830,600","22,500",2.6%
Alameda,2022,June,"854,100","827,200","26,900",3.2%
Alameda,2022,July,"857,000","830,300","26,700",3.1%
Alameda,2022,August,"858,400","830,500","27,900",3.3%
Alameda,2022,September,"859,100","834,100","25,100",2.9%
Alameda,2022,October,"859,000","832,600","26,400",3.1%
Alameda,2022,November,"858,600","831,600","27,000",3.1%
Alameda,2022,December,"858,200","833,200","25,000",2.9%
Alameda,2023,January,"857,600","827,600","30,000",3.5%
Alameda,2023,February,"865,300","834,500","30,900",3.6%
Alameda,2023,March,"869,900","839,600","30,300",3.5%
Alameda,2023,April,"861,200","833,900","27,300",3.2%
Alameda,2023,May,"861,800","833,100","28,700",3.3%
Alameda,2023,June,"861,100","827,800","33,400",3.9%
Alameda,2023,July,"870,300","835,600","34,700",4.0%
Alameda,2023,August,"871,000","833,100","37,900",4.4%
Alameda,2023,September,"872,400","836,500","35,900",4.1%
Alameda,2023,October,"868,600","831,600","37,000",4.3%
Alameda,2023,November,"870,900","834,700","36,200",4.2%
Alameda,2023,December,"865,500","830,200","35,300",4.1%
Alameda,2024,January,"863,300","824,600","38,700",4.5%
Alameda,2024,February,"867,800","829,500","38,300",4.4%
Alameda,2024,March,"870,100","832,900","37,100",4.3%
Alameda,2024,April,"861,800","827,700","34,000",4.0%
Alameda,2024,May,"861,700","828,700","33,000",3.8%
Alameda,2024,June,"864,000","824,600","39,400",4.6%
Alameda,2024,July,"873,200","830,000","43,200",4.9%
Alameda,2024,August,"869,000","825,500","43,600",5.0%
Alameda,2024,September,"869,700","830,900","38,900",4.5%
Alameda,2024,October,"866,800","826,900","39,900",4.6%
Alameda,2024,November,"865,600","825,700","39,900",4.6%
Alameda,2024,December,"862,800","825,600","37,200",4.3%
Alpine,2010,January,710,640,70,10.3%
Alpine,2010,February,700,630,70,10.0%
Alpine,2010,March,670,590,70,10.8%
Alpine,2010,April,450,380,70,14.9%
Alpine,2010,May,450,380,70,15.6%
Alpine,2010,June,450,380,70,15.3%
Alpine,2010,July,490,410,70,15.2%
Alpine,2010,August,490,420,70,14.0%
Alpine,2010,September,480,410,70,14.6%
Alpine,2010,October,480,410,70,14.1%
Alpine,2010,November,500,420,80,15.7%
Alpine,2010,December,650,580,60,9.8%
Alpine,2011,January,740,670,70,9.3%
Alpine,2011,February,730,660,70,9.4%
Alpine,2011,March,690,620,70,10.1%
Alpine,2011,April,620,550,70,11.0%
Alpine,2011,May,510,430,90,16.8%
Alpine,2011,June,510,420,90,16.8%
Alpine,2011,July,550,470,80,14.7%
Alpine,2011,August,540,470,70,13.3%
Alpine,2011,September,520,450,80,14.3%
Alpine,2011,October,520,440,80,14.5%
Alpine,2011,November,520,450,70,13.5%
Alpine,2011,December,630,560,70,11.4%
Alpine,2012,January,620,550,80,12.1%
Alpine,2012,February,670,600,70,10.0%
Alpine,2012,March,660,600,60,9.2%
Alpine,2012,April,650,590,50,8.2%
Alpine,2012,May,470,400,60,13.5%
Alpine,2012,June,480,420,70,13.8%
Alpine,2012,July,500,430,70,13.3%
Alpine,2012,August,490,430,60,12.5%
Alpine,2012,September,480,420,60,11.5%
Alpine,2012,October,470,420,50,11.5%
Alpine,2012,November,470,420,50,11.1%
Alpine,2012,December,560,510,50,9.3%
Alpine,2013,January,640,590,60,9.0%
Alpine,2013,February,650,590,50,8.4%
Alpine,2013,March,620,570,50,8.3%
Alpine,2013,April,490,440,50,10.1%
Alpine,2013,May,470,420,50,10.5%
Alpine,2013,June,480,420,60,11.5%
Alpine,2013,July,500,440,60,11.9%
Alpine,2013,August,490,440,50,10.4%
Alpine,2013,September,480,430,50,10.0%
Alpine,2013,October,470,420,50,10.2%
Alpine,2013,November,470,430,40,9.3%
Alpine,2013,December,530,490,40,8.1%
Alpine,2014,January,530,490,40,7.9%
Alpine,2014,February,520,470,40,8.5%
Alpine,2014,March,510,470,40,8.6%
Alpine,2014,April,500,460,40,8.0%
Alpine,2014,May,490,440,50,10.3%
Alpine,2014,June,510,450,50,10.5%
Alpine,2014,July,520,470,50,8.9%
Alpine,2014,August,500,460,40,8.5%
Alpine,2014,September,500,460,40,7.5%
Alpine,2014,October,490,450,40,7.7%
Alpine,2014,November,500,460,40,7.5%
Alpine,2014,December,550,520,30,5.8%
Alpine,2015,January,570,530,40,6.5%
Alpine,2015,February,560,520,40,6.8%
Alpine,2015,March,540,500,40,7.4%
Alpine,2015,April,590,540,40,7.2%
Alpine,2015,May,530,490,40,8.2%
Alpine,2015,June,520,480,50,8.8%
Alpine,2015,July,530,480,40,8.3%
Alpine,2015,August,530,490,40,7.5%
Alpine,2015,September,530,490,40,7.6%
Alpine,2015,October,510,470,40,7.9%
Alpine,2015,November,540,500,40,6.8%
Alpine,2015,December,650,610,40,5.6%
Alpine,2016,January,530,500,40,7.0%
Alpine,2016,February,530,500,40,6.8%
Alpine,2016,March,520,480,40,7.3%
Alpine,2016,April,480,450,40,7.7%
Alpine,2016,May,340,300,40,11.3%
Alpine,2016,June,360,330,40,10.2%
Alpine,2016,July,360,320,40,10.3%
Alpine,2016,August,360,320,40,10.2%
Alpine,2016,September,360,320,40,10.6%
Alpine,2016,October,340,310,40,10.2%
Alpine,2016,November,380,340,40,9.8%
Alpine,2016,December,460,430,30,6.4%
Alpine,2017,January,500,460,40,7.4%
Alpine,2017,February,510,470,40,7.1%
Alpine,2017,March,490,450,40,7.2%
Alpine,2017,April,450,420,30,6.7%
Alpine,2017,May,340,300,40,10.4%
Alpine,2017,June,350,310,40,12.2%
Alpine,2017,July,370,330,40,10.8%
Alpine,2017,August,360,320,40,10.3%
Alpine,2017,September,350,320,30,9.7%
Alpine,2017,October,340,310,30,9.3%
Alpine,2017,November,410,380,30,7.6%
Alpine,2017,December,490,460,30,5.5%
Alpine,2018,January,530,500,30,5.7%
Alpine,2018,February,520,490,20,4.6%
Alpine,2018,March,490,470,20,4.9%
Alpine,2018,April,360,340,20,5.6%
Alpine,2018,May,320,300,30,7.7%
Alpine,2018,June,340,310,30,8.5%
Alpine,2018,July,360,330,30,8.6%
Alpine,2018,August,350,320,30,7.7%
Alpine,2018,September,350,320,30,7.2%
Alpine,2018,October,350,320,30,7.2%
Alpine,2018,November,410,390,20,5.9%
Alpine,2018,December,510,490,20,4.5%
Alpine,2019,January,560,530,30,5.5%
Alpine,2019,February,540,510,30,5.6%
Alpine,2019,March,520,490,30,6.0%
Alpine,2019,April,440,420,20,5.2%
Alpine,2019,May,340,310,30,8.3%
Alpine,2019,June,360,320,40,9.9%
Alpine,2019,July,350,320,40,10.3%
Alpine,2019,August,350,320,30,8.1%
Alpine,2019,September,340,320,30,7.3%
Alpine,2019,October,330,300,30,8.0%
Alpine,2019,November,320,290,30,8.4%
Alpine,2019,December,390,360,30,6.5%
Alpine,2020,January,500,470,30,6.2%
Alpine,2020,February,490,450,30,6.8%
Alpine,2020,March,490,450,50,9.1%
Alpine,2020,April,360,250,110,31.0%
Alpine,2020,May,330,230,100,31.1%
Alpine,2020,June,340,250,90,26.2%
Alpine,2020,July,340,270,70,19.8%
Alpine,2020,August,340,280,50,15.2%
Alpine,2020,September,340,280,50,15.2%
Alpine,2020,October,320,280,50,14.6%
Alpine,2020,November,350,300,40,12.5%
Alpine,2020,December,420,370,50,11.4%
Alpine,2021,January,480,440,50,9.7%
Alpine,2021,February,490,440,50,10.4%
Alpine,2021,March,480,430,50,10.8%
Alpine,2021,April,430,390,50,10.9%
Alpine,2021,May,340,300,50,13.1%
Alpine,2021,June,350,300,50,13.5%
Alpine,2021,July,360,310,50,13.2%
Alpine,2021,August,330,290,50,13.5%
Alpine,2021,September,320,280,40,13.0%
Alpine,2021,October,300,270,40,12.3%
Alpine,2021,November,310,280,30,9.9%
Alpine,2021,December,360,320,30,8.7%
Alpine,2022,January,420,380,40,8.9%
Alpine,2022,February,420,390,40,8.5%
Alpine,2022,March,410,380,30,8.0%
Alpine,2022,April,420,390,30,6.2%
Alpine,2022,May,340,310,30,8.0%
Alpine,2022,June,320,290,30,8.8%
Alpine,2022,July,330,300,30,7.9%
Alpine,2022,August,320,300,30,8.4%
Alpine,2022,September,320,300,20,7.5%
Alpine,2022,October,300,280,30,8.6%
Alpine,2022,November,320,300,30,8.4%
Alpine,2022,December,400,370,30,6.8%
Alpine,2023,January,510,480,30,6.3%
Alpine,2023,February,510,480,30,6.5%
Alpine,2023,March,480,450,30,7.0%
Alpine,2023,April,460,430,30,6.6%
Alpine,2023,May,350,320,30,9.1%
Alpine,2023,June,340,310,40,10.2%
Alpine,2023,July,370,330,40,9.8%
Alpine,2023,August,360,320,40,10.6%
Alpine,2023,September,330,300,30,9.3%
Alpine,2023,October,350,310,30,9.9%
Alpine,2023,November,380,340,40,9.5%
Alpine,2023,December,580,550,30,5.8%
Alpine,2024,January,610,570,40,6.5%
Alpine,2024,February,610,570,40,6.2%
Alpine,2024,March,600,570,40,5.8%
Alpine,2024,April,580,550,30,5.4%
Alpine,2024,May,380,340,30,9.0%
Alpine,2024,June,380,340,40,10.0%
Alpine,2024,July,400,360,40,10.1%
Alpine,2024,August,390,350,40,10.1%
Alpine,2024,September,370,340,30,8.8%
Alpine,2024,October,360,330,30,8.9%
Alpine,2024,November,380,350,40,9.1%
Alpine,2024,December,470,440,30,6.8%
Amador,2010,January,"15,670","13,280","2,400",15.3%
Amador,2010,February,"15,750","13,350","2,400",15.2%
Amador,2010,March,"15,840","13,450","2,390",15.1%
Amador,2010,April,"15,490","13,280","2,210",14.2%
Amador,2010,May,"15,520","13,420","2,100",13.6%
Amador,2010,June,"15,720","13,570","2,140",13.6%
Amador,2010,July,"15,650","13,500","2,150",13.7%
Amador,2010,August,"15,450","13,320","2,130",13.8%
Amador,2010,September,"15,360","13,260","2,100",13.6%
Amador,2010,October,"15,370","13,310","2,070",13.4%
Amador,2010,November,"15,300","13,140","2,170",14.2%
Amador,2010,December,"15,160","13,000","2,160",14.3%
Amador,2011,January,"15,190","12,890","2,300",15.2%
Amador,2011,February,"15,210","12,990","2,220",14.6%
Amador,2011,March,"15,260","13,070","2,190",14.3%
Amador,2011,April,"15,020","13,030","2,000",13.3%
Amador,2011,May,"15,000","13,090","1,920",12.8%
Amador,2011,June,"15,240","13,230","2,010",13.2%
Amador,2011,July,"15,210","13,200","2,010",13.2%
Amador,2011,August,"14,990","12,970","2,020",13.4%
Amador,2011,September,"14,920","12,880","2,040",13.6%
Amador,2011,October,"14,980","13,000","1,970",13.2%
Amador,2011,November,"14,750","12,820","1,940",13.1%
Amador,2011,December,"14,660","12,690","1,970",13.4%
Amador,2012,January,"14,650","12,600","2,050",14.0%
Amador,2012,February,"14,690","12,680","2,000",13.6%
Amador,2012,March,"14,730","12,730","2,000",13.6%
Amador,2012,April,"14,450","12,610","1,840",12.7%
Amador,2012,May,"14,510","12,770","1,750",12.0%
Amador,2012,June,"14,750","12,940","1,810",12.3%
Amador,2012,July,"14,970","13,120","1,850",12.3%
Amador,2012,August,"14,610","12,870","1,740",11.9%
Amador,2012,September,"14,720","13,050","1,670",11.3%
Amador,2012,October,"14,780","13,140","1,640",11.1%
Amador,2012,November,"14,440","12,830","1,610",11.1%
Amador,2012,December,"14,290","12,650","1,650",11.5%
Amador,2013,January,"14,310","12,540","1,770",12.4%
Amador,2013,February,"14,370","12,690","1,680",11.7%
Amador,2013,March,"14,350","12,760","1,590",11.1%
Amador,2013,April,"14,300","12,810","1,490",10.4%
Amador,2013,May,"14,510","13,070","1,440",9.9%
Amador,2013,June,"14,660","13,120","1,540",10.5%
Amador,2013,July,"14,760","13,240","1,520",10.3%
Amador,2013,August,"14,580","13,150","1,430",9.8%
Amador,2013,September,"14,590","13,190","1,400",9.6%
Amador,2013,October,"14,310","12,900","1,420",9.9%
Amador,2013,November,"14,160","12,770","1,390",9.8%
Amador,2013,December,"14,040","12,710","1,330",9.5%
Amador,2014,January,"14,180","12,750","1,430",10.1%
Amador,2014,February,"14,320","12,880","1,440",10.0%
Amador,2014,March,"14,400","12,980","1,410",9.8%
Amador,2014,April,"14,050","12,850","1,200",8.5%
Amador,2014,May,"14,310","13,160","1,150",8.1%
Amador,2014,June,"14,390","13,200","1,190",8.3%
Amador,2014,July,"14,550","13,330","1,220",8.4%
Amador,2014,August,"14,530","13,370","1,170",8.0%
Amador,2014,September,"14,580","13,490","1,090",7.5%
Amador,2014,October,"14,430","13,370","1,050",7.3%
Amador,2014,November,"14,250","13,170","1,070",7.5%
Amador,2014,December,"14,060","13,020","1,040",7.4%
Amador,2015,January,"14,230","13,090","1,140",8.0%
Amador,2015,February,"14,260","13,190","1,080",7.5%
Amador,2015,March,"14,310","13,270","1,040",7.3%
Amador,2015,April,"14,320","13,360",960,6.7%
Amador,2015,May,"14,470","13,550",920,6.4%
Amador,2015,June,"14,500","13,560",940,6.5%
Amador,2015,July,"14,540","13,580",960,6.6%
Amador,2015,August,"14,460","13,570",900,6.2%
Amador,2015,September,"14,360","13,530",830,5.8%
Amador,2015,October,"14,270","13,400",860,6.0%
Amador,2015,November,"14,130","13,250",880,6.2%
Amador,2015,December,"14,010","13,140",870,6.2%
Amador,2016,January,"14,230","13,240","1,000",7.0%
Amador,2016,February,"14,490","13,510",980,6.8%
Amador,2016,March,"14,630","13,630","1,000",6.8%
Amador,2016,April,"14,560","13,660",900,6.2%
Amador,2016,May,"14,660","13,860",800,5.5%
Amador,2016,June,"14,890","14,010",890,6.0%
Amador,2016,July,"14,910","13,990",920,6.2%
Amador,2016,August,"14,890","14,010",880,5.9%
Amador,2016,September,"15,030","14,180",850,5.6%
Amador,2016,October,"14,870","14,020",840,5.7%
Amador,2016,November,"14,630","13,790",840,5.7%
Amador,2016,December,"14,550","13,670",880,6.0%
Amador,2017,January,"14,600","13,650",960,6.6%
Amador,2017,February,"14,730","13,810",920,6.2%
Amador,2017,March,"14,850","14,000",850,5.7%
Amador,2017,April,"14,770","14,010",760,5.1%
Amador,2017,May,"14,870","14,190",680,4.6%
Amador,2017,June,"15,020","14,270",750,5.0%
Amador,2017,July,"15,050","14,270",780,5.2%
Amador,2017,August,"15,010","14,250",760,5.1%
Amador,2017,September,"15,140","14,480",670,4.4%
Amador,2017,October,"14,920","14,270",650,4.3%
Amador,2017,November,"14,770","14,130",650,4.4%
Amador,2017,December,"14,570","13,930",640,4.4%
Amador,2018,January,"14,720","13,990",730,5.0%
Amador,2018,February,"14,810","14,100",720,4.8%
Amador,2018,March,"14,770","14,080",690,4.7%
Amador,2018,April,"14,680","14,060",610,4.2%
Amador,2018,May,"14,890","14,360",530,3.6%
Amador,2018,June,"14,860","14,240",620,4.2%
Amador,2018,July,"14,920","14,310",600,4.0%
Amador,2018,August,"14,830","14,240",590,4.0%
Amador,2018,September,"14,910","14,360",550,3.7%
Amador,2018,October,"15,040","14,470",570,3.8%
Amador,2018,November,"14,810","14,250",560,3.8%
Amador,2018,December,"14,710","14,110",610,4.1%
Amador,2019,January,"14,720","13,960",760,5.2%
Amador,2019,February,"14,820","14,110",710,4.8%
Amador,2019,March,"14,890","14,190",700,4.7%
Amador,2019,April,"14,850","14,280",560,3.8%
Amador,2019,May,"14,960","14,460",500,3.3%
Amador,2019,June,"15,010","14,430",580,3.8%
Amador,2019,July,"15,050","14,440",610,4.1%
Amador,2019,August,"15,140","14,560",580,3.8%
Amador,2019,September,"15,110","14,610",490,3.3%
Amador,2019,October,"15,120","14,590",530,3.5%
Amador,2019,November,"14,870","14,320",550,3.7%
Amador,2019,December,"14,770","14,190",580,3.9%
Amador,2020,January,"14,920","14,190",730,4.9%
Amador,2020,February,"15,040","14,380",670,4.4%
Amador,2020,March,"15,020","14,090",930,6.2%
Amador,2020,April,"14,390","12,180","2,210",15.4%
Amador,2020,May,"14,080","11,880","2,200",15.6%
Amador,2020,June,"14,710","12,940","1,770",12.1%
Amador,2020,July,"14,620","12,920","1,700",11.6%
Amador,2020,August,"14,590","13,220","1,370",9.4%
Amador,2020,September,"14,540","13,250","1,290",8.9%
Amador,2020,October,"14,470","13,310","1,160",8.0%
Amador,2020,November,"14,240","13,080","1,170",8.2%
Amador,2020,December,"14,260","13,060","1,200",8.4%
Amador,2021,January,"14,330","13,040","1,290",9.0%
Amador,2021,February,"14,460","13,200","1,260",8.7%
Amador,2021,March,"14,620","13,410","1,210",8.3%
Amador,2021,April,"14,380","13,260","1,120",7.8%
Amador,2021,May,"14,440","13,450","1,000",6.9%
Amador,2021,June,"14,660","13,540","1,120",7.6%
Amador,2021,July,"14,690","13,630","1,060",7.2%
Amador,2021,August,"14,740","13,710","1,030",7.0%
Amador,2021,September,"14,700","13,810",880,6.0%
Amador,2021,October,"14,660","13,800",870,5.9%
Amador,2021,November,"14,510","13,700",810,5.6%
Amador,2021,December,"14,340","13,590",750,5.2%
Amador,2022,January,"14,520","13,650",880,6.0%
Amador,2022,February,"14,610","13,830",790,5.4%
Amador,2022,March,"14,640","13,920",720,4.9%
Amador,2022,April,"14,310","13,700",610,4.2%
Amador,2022,May,"14,440","13,910",530,3.7%
Amador,2022,June,"14,570","13,950",620,4.3%
Amador,2022,July,"14,360","13,750",610,4.3%
Amador,2022,August,"14,510","13,870",640,4.4%
Amador,2022,September,"14,580","13,980",600,4.1%
Amador,2022,October,"14,480","13,830",650,4.5%
Amador,2022,November,"14,450","13,770",680,4.7%
Amador,2022,December,"14,350","13,690",660,4.6%
Amador,2023,January,"14,410","13,580",830,5.8%
Amador,2023,February,"14,640","13,820",820,5.6%
Amador,2023,March,"14,720","13,870",840,5.7%
Amador,2023,April,"14,580","13,890",690,4.7%
Amador,2023,May,"14,680","14,010",670,4.6%
Amador,2023,June,"14,740","14,030",710,4.8%
Amador,2023,July,"14,820","14,090",730,4.9%
Amador,2023,August,"14,930","14,140",790,5.3%
Amador,2023,September,"14,970","14,230",740,5.0%
Amador,2023,October,"14,900","14,140",760,5.1%
Amador,2023,November,"14,930","14,190",740,5.0%
Amador,2023,December,"14,730","13,980",750,5.1%
Amador,2024,January,"14,710","13,840",870,5.9%
Amador,2024,February,"14,970","14,070",900,6.0%
Amador,2024,March,"15,080","14,240",850,5.6%
Amador,2024,April,"14,880","14,120",750,5.1%
Amador,2024,May,"14,910","14,230",680,4.6%
Amador,2024,June,"14,960","14,170",790,5.3%
Amador,2024,July,"15,130","14,260",870,5.8%
Amador,2024,August,"15,090","14,220",870,5.8%
Amador,2024,September,"15,050","14,260",790,5.2%
Amador,2024,October,"14,910","14,100",810,5.4%
Amador,2024,November,"14,870","14,040",830,5.6%
Amador,2024,December,"14,880","14,060",820,5.5%
Butte,2010,January,"102,600","87,100","15,500",15.1%
Butte,2010,February,"103,200","87,700","15,500",15.0%
Butte,2010,March,"103,200","87,900","15,300",14.8%
Butte,2010,April,"103,000","88,700","14,300",13.9%
Butte,2010,May,"102,100","88,400","13,700",13.4%
Butte,2010,June,"102,400","88,000","14,400",14.0%
Butte,2010,July,"102,600","87,800","14,800",14.4%
Butte,2010,August,"102,700","88,500","14,200",13.8%
Butte,2010,September,"101,900","88,600","13,300",13.1%
Butte,2010,October,"104,000","90,600","13,400",12.9%
Butte,2010,November,"103,600","89,400","14,200",13.7%
Butte,2010,December,"101,300","86,900","14,300",14.2%
Butte,2011,January,"100,400","85,100","15,300",15.2%
Butte,2011,February,"100,800","86,000","14,700",14.6%
Butte,2011,March,"100,100","85,500","14,600",14.6%
Butte,2011,April,"100,700","87,200","13,500",13.4%
